A1 E5
A5 E1
E5 D5 C4
A5 B5 C4
D5 C5 C4
B5 A4 B4
C5 B5 B4
A4 A3 B3
B5 A4 B4
A3 A2 B3
A4 B5 C4
A2 A3 B2
B5 A4 B4
A3 B2 A2
A4 A3 B3
B2 A2 B2
A3 A4 B3
A2 B2 C3
A1 B1 C2
B2 A2 B2
A4 A3 A4
A2 A1 A2
A3 A4 A3
E1 D2 C2
B1 C1 B1
D2 D1 D2
C1 B1 C2
D1 C1 D1
A4 A3 A2
C1 D1 D2
A3 A4 A5
D1 C1 D1
A4 A5 B5

Pobednik je Igrac 1
